i, fps
277, 60
278, 60
279, 58
280, 54
281, 66
282, 63
283, 59
284, 59
285, 60
286, 60
287, 51
288, 68
289, 63
290, 60
291, 59
292, 60
293, 51
294, 67
295, 63
296, 59
297, 58
298, 61
299, 59
300, 59
301, 60
302, 50
303, 68
304, 62
305, 51
306, 65
307, 64
308, 60
309, 60
310, 59
311, 59
312, 60
313, 53
314, 63
315, 59
316, 61
317, 49
318, 66
319, 63
320, 63
321, 59
322, 61
323, 59
324, 58
325, 62
326, 56
327, 57
328, 66
329, 58
330, 63
331, 53
332, 58
333, 66
334, 58
335, 58
336, 59
337, 64
338, 59
339, 61
340, 60
341, 60
342, 61
343, 58
344, 52
345, 66
346, 57
347, 52
348, 69
349, 62
350, 54
351, 59
352, 64
353, 58
354, 61
355, 55
356, 62
357, 59
358, 62
359, 65
360, 58
361, 59
362, 53
363, 62
364, 68
365, 58
366, 56
367, 63
368, 58
369, 59
370, 58
371, 65
372, 62
373, 55
374, 60
375, 59
376, 62
377, 52
378, 70
379, 61
380, 59
381, 58
382, 58
383, 57
384, 64
385, 62
386, 56
387, 63
388, 57
389, 60
390, 60
391, 62
392, 52
393, 64
394, 64
395, 54
396, 67
397, 57
398, 61
399, 59
400, 57
401, 60
402, 60
403, 60
404, 58
405, 58
406, 61
407, 57
408, 62
409, 67
410, 59
411, 59
412, 60
413, 60
414, 59
415, 60
416, 60
417, 59
418, 59
419, 60
420, 60
421, 54
422, 59
423, 67
424, 59
425, 59
426, 54
427, 65
428, 55
429, 60
430, 59
431, 59
432, 60
433, 66
434, 54
435, 59
436, 60
437, 59
438, 60
439, 59
440, 59
441, 60
442, 59
443, 59
444, 59
445, 60
446, 58
447, 65
448, 73
449, 57
450, 62
451, 60
452, 60
453, 59
454, 60
455, 59
456, 60
457, 59
458, 59
459, 61
460, 61
461, 59
462, 60
463, 58
464, 61
465, 60
466, 59
467, 60
468, 59
469, 60
470, 60
471, 59
472, 59
473, 59
474, 60
475, 60
476, 59
477, 60
478, 60
479, 60
480, 58
481, 61
482, 59
483, 60
484, 60
485, 59
486, 59
487, 59
488, 60
489, 60
490, 60
491, 61
492, 59
493, 58
494, 60
495, 60
496, 59
497, 59
498, 59
499, 61
500, 59
501, 59
502, 60
503, 60
504, 59
505, 60
506, 60
507, 59
508, 59
509, 60
510, 59
511, 59
512, 59
513, 58
514, 62
515, 60
516, 60
517, 60
518, 59
519, 59
520, 59
521, 60
522, 60
523, 60
524, 60
525, 59
526, 59
527, 59
528, 60
529, 60
530, 59
531, 59
532, 59
533, 59
534, 58
535, 61
536, 60
537, 60
538, 60
539, 59
540, 60
541, 59
542, 59
543, 59
544, 59
545, 58
546, 62
547, 59
548, 61
549, 59
550, 59
551, 61
552, 58
553, 61
554, 59
555, 60
556, 58
557, 60
558, 60
559, 59
560, 61
561, 60
562, 59
563, 60
564, 60
565, 59
566, 60
567, 58
568, 60
569, 59
570, 61
571, 57
572, 60
573, 59
574, 61
575, 59
576, 59
577, 60
578, 60
579, 56
580, 62
581, 58
582, 59
583, 63
584, 58
585, 57
586, 64
587, 58
588, 60
589, 61
590, 59
591, 57
592, 60
593, 59
594, 60
595, 60
596, 52
597, 65
598, 63
599, 59
600, 60
601, 60
602, 49
603, 71
604, 59
605, 61
606, 61
607, 60
608, 52
609, 66
610, 63
611, 60
612, 60
613, 60
614, 56
615, 58
616, 60
617, 53
618, 69
619, 59
620, 54
621, 59
622, 64
623, 61
624, 60
625, 59
