Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
176, 57, 153251840, 0, 54, 22, 1174065152
177, 62, 153251840, 0, 54, 22, 1174065152
178, 60, 153251840, 0, 54, 22, 1174065152
179, 60, 153251840, 0, 54, 22, 1174065152
180, 58, 153251840, 0, 54, 22, 1174065152
181, 61, 153251840, 0, 54, 22, 1174065152
182, 60, 153251840, 0, 54, 22, 1174065152
183, 59, 153251840, 0, 54, 22, 1174065152
184, 58, 153251840, 0, 54, 22, 1174065152
185, 61, 153251840, 0, 54, 22, 1174065152
186, 59, 153251840, 7.63457, 54, 22, 1174065152
187, 60, 153251840, 0, 54, 22, 1174065152
188, 56, 153251840, 0, 54, 22, 1174065152
189, 64, 153251840, 0, 54, 22, 1174065152
190, 58, 153251840, 0, 54, 22, 1174065152
191, 55, 153255936, 0, 54, 22, 1174065152
192, 60, 153255936, 0, 54, 22, 1174065152
193, 56, 153255936, 0, 54, 22, 1174065152
194, 63, 153255936, 0, 54, 22, 1174065152
195, 59, 153255936, 0, 54, 22, 1174065152
196, 60, 153255936, 0, 54, 22, 1174065152
197, 60, 153255936, 0, 54, 22, 1174065152
198, 59, 153255936, 0, 54, 22, 1174065152
199, 58, 153255936, 0, 54, 22, 1174065152
200, 62, 153255936, 7.65783, 54, 22, 1174065152
201, 57, 153255936, 0, 54, 22, 1174065152
202, 62, 153255936, 0, 54, 22, 1174065152
203, 60, 153255936, 0, 54, 22, 1174065152
204, 59, 153255936, 0, 54, 22, 1174065152
205, 60, 153255936, 0, 54, 22, 1174065152
206, 59, 153255936, 0, 54, 22, 1174065152
207, 60, 153255936, 0, 54, 22, 1174065152
208, 60, 153255936, 0, 54, 22, 1174065152
209, 59, 153255936, 0, 54, 22, 1174065152
210, 59, 153255936, 0, 54, 22, 1174065152
211, 57, 153255936, 0, 54, 22, 1174065152
212, 60, 153255936, 0, 54, 22, 1174065152
213, 62, 153255936, 6.85296, 54, 22, 1174065152
214, 53, 153255936, 0, 54, 22, 1174065152
215, 64, 153255936, 8.13726, 54, 27, 1174065152
216, 61, 153255936, 0, 54, 27, 1174065152
217, 61, 153255936, 0, 54, 27, 1174065152
218, 60, 153255936, 0, 54, 27, 1174065152
219, 59, 153255936, 0, 54, 27, 1174065152
220, 60, 153255936, 0, 53, 27, 1174065152
221, 55, 153255936, 0, 53, 27, 1174065152
222, 65, 153255936, 0, 53, 27, 1174065152
223, 59, 153255936, 0, 53, 27, 1174065152
224, 60, 153255936, 0, 53, 27, 1174065152
225, 60, 153255936, 0, 53, 27, 1174065152
226, 58, 153255936, 0, 53, 27, 1174065152
227, 60, 153255936, 0, 53, 27, 1174065152
228, 54, 153268224, 6.85253, 53, 27, 1174065152
229, 56, 153268224, 0, 53, 27, 1174065152
230, 71, 153268224, 16.2762, 53, 27, 1174065152
231, 58, 153268224, 0, 53, 27, 1174065152
232, 62, 153268224, 0, 53, 27, 1174065152
233, 58, 153268224, 0, 53, 27, 1174065152
234, 56, 153268224, 0, 53, 27, 1174065152
235, 62, 153268224, 0, 53, 27, 1174065152
236, 61, 153268224, 0, 53, 27, 1174065152
237, 60, 153268224, 0, 53, 27, 1174065152
238, 58, 153268224, 0, 53, 27, 1174065152
239, 57, 153268224, 0, 53, 27, 1174065152
240, 59, 153268224, 0, 53, 27, 1174065152
241, 63, 153268224, 0, 53, 27, 1174065152
242, 59, 153268224, 0, 53, 27, 1174065152
243, 59, 153268224, 7.23408, 53, 27, 1174065152
244, 54, 153268224, 8.13772, 53, 27, 1174065152
245, 65, 153268224, 0, 53, 27, 1174065152
246, 61, 153268224, 0, 53, 27, 1174065152
247, 60, 153268224, 0, 53, 27, 1174065152
248, 58, 153268224, 0, 54, 27, 1174065152
249, 58, 153268224, 0, 54, 27, 1174065152
250, 66, 153268224, 0, 54, 27, 1174065152
251, 59, 153268224, 0, 54, 27, 1174065152
252, 58, 153268224, 0, 54, 27, 1174065152
253, 63, 153268224, 0, 54, 27, 1174065152
