Time, Frames per second [F/S], RAM usage [B], CPU usage [%]
324, 63, 81248256, 0
325, 60, 81248256, 0
326, 62, 81248256, 0
327, 60, 81248256, 0
328, 55, 81248256, 0
329, 55, 81248256, 7.65985
330, 63, 81248256, 8.13772
331, 62, 81248256, 8.68084
332, 64, 81248256, 0
333, 63, 81248256, 0
334, 54, 81248256, 0
335, 58, 81248256, 0
336, 58, 81248256, 0
337, 71, 81248256, 0
338, 58, 81248256, 0
339, 61, 81248256, 0
340, 58, 81248256, 0
341, 60, 81248256, 0
342, 59, 81248256, 0
